Plan Version,Placement,Category,Region,Country,Pub Tier,Deal Owner,Publisher,Site,Product,Path,Ad Unit Type,Close Date,Close Year,Close Quarter,Close Month,# of Placement-Level Deals Closed (Prob. Adj.),Adj. Launch Date,Launch Year,Launch Quarter,Launch Month,# of Placement Launches (Prob. Adj.),Non-Prob. Adj. Scope ($),Probability,Date,Monthly Revenue,FY2015E ($),FY2015E Exit Run rate ($),Avg. monthly launches
Operating,Orbitz - SCA - Package - XU,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",Orbitz,SCA,Package,Exit Unit,7/31/15,2015,3,7,0,10/29/15,2015,4,10,0,621572,0.1,10/1/15,161,3179,49726,
Operating,Expedia.com - SCA - Package - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,SCA,Package,Exit Unit,7/16/15,2015,3,7,1,10/14/15,2015,4,10,1,3450000,0.5,10/1/15,26734,110493,1380000,
Operating,Orbitz - SCA - Flight - Mobile App,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",Orbitz,SCA,Flight,Mobile App,5/2/15,2015,2,5,0,7/31/15,2015,3,7,0,155000,0.1,10/1/15,678,4191,15500,
Operating,Orbitz - SCA - Flight - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",Orbitz,SCA,Flight,Mobile Web,4/30/15,2015,2,4,0.8,7/29/15,2015,3,7,1,806239,0.75,10/1/15,38890,203963,604679,
Operating,Farespotter.net - SCA - Package - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Oversee.net,FareSpotter.net,SCA,Package,Exit Unit,8/30/15,2015,3,8,0,11/28/15,2015,4,11,0,3778,0.1,10/1/15,0,10,302,
Operating,OneTravel - SCA - Package - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,OneTravel,SCA,Package,Exit Unit,8/30/15,2015,3,8,0,11/28/15,2015,4,11,0,110000,0.1,10/1/15,0,289,8800,
Operating,Orbitz - SSN - Hotel - OP - Mobile App,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",Orbitz,SSN,Hotel,Mobile App,1/30/15,2015,1,1,0.3,4/30/15,2015,2,4,0,130000,0.25,10/1/15,2147,16668,32500,
Operating,RoomerTravel - SCA - Hotel - iFC,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,RoomerTravel,Roomer,SCA,Hotel,iFC,12/9/14,2014,4,12,1,3/9/15,2015,1,3,1,576432,0.9,10/1/15,69762,716831,518789,
Operating,RoomerTravel - SCA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,RoomerTravel,Roomer,SCA,Hotel,On Page,11/8/14,2014,4,11,1,2/6/15,2015,1,2,1,45000,0.9,10/1/15,2375,27549,40500,
Operating,RoomerTravel - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,RoomerTravel,Roomer,SCA,Hotel,On Page,11/8/14,2014,4,11,1,2/6/15,2015,1,2,1,85000,0.9,10/1/15,4487,52037,76500,
Operating,RoomerTravel - SCA - Hotel - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,RoomerTravel,Roomer,SCA,Hotel,Exit Unit,12/6/14,2014,4,12,1,3/6/15,2015,1,3,1,395000,0.9,10/1/15,18912,185316,284400,
Operating,Travelocity - PPA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Travelocity,PPA,Hotel,On Page,11/3/14,2014,4,11,0.8,2/1/15,2015,1,2,1,4310000,0.75,10/1/15,274584,2848878,3232500,
Operating,Travelocity - PPA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Travelocity,PPA,Hotel,On Page,11/3/14,2014,4,11,0.8,2/1/15,2015,1,2,1,4100000,0.75,10/1/15,261205,2710070,3075000,
Operating,Travelocity - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Travelocity,SCA,Package,On Page,9/30/15,2015,3,9,1,12/29/15,2015,4,12,1,250000,0.5,10/1/15,0,360,125000,
Operating,Travelocity - SCA - Package - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Travelocity,SCA,Package,Exit Unit,9/30/15,2015,3,9,1,12/29/15,2015,4,12,1,910000,0.5,10/1/15,0,1048,364000,
Operating,Travelocity - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Travelocity,SCA,Hotel,On Page,1/31/15,2015,1,1,0,5/1/15,2015,2,5,0,1300000,0.1,10/1/15,7624,58821,130000,
Operating,OneTravel - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,OneTravel,SCA,Package,On Page,10/2/15,2015,4,10,0,12/31/15,2015,4,12,0,50000,0.1,10/1/15,0,5,5000,
Operating,Travelport - SSN - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,Travelport LTD,Travelport,SSN,Hotel,On Page,5/2/15,2015,2,5,0,7/31/15,2015,3,7,0,675000,0.1,10/1/15,2145,15082,67500,
Operating,AMOMA.com - SCA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Strategic,Lynne Hamilton,AMOMA,AMOMA.com,SCA,Hotel,On Page,7/16/15,2015,3,7,0,10/14/15,2015,4,10,0,93667,0.1,11/1/15,267,690,9367,
Operating,AMOMA.com - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Lynne Hamilton,AMOMA,AMOMA.com,SCA,Hotel,On Page,7/16/15,2015,3,7,0,10/14/15,2015,4,10,0,39168,0.1,11/1/15,112,289,3917,
Operating,BookIt.com - PPA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,PPA,Hotel,On Page,3/2/15,2015,1,3,1,5/31/15,2015,2,5,1,305000,0.5,11/1/15,12602,76814,152500,
Operating,BookIt.com - PPA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,PPA,Hotel,On Page,1/1/15,2015,1,1,0.8,4/1/15,2015,2,4,1,1500000,0.75,11/1/15,92962,795664,1125000,
Operating,BookIt.com - SCA - Flight - XU,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SCA,Flight,Exit Unit,7/2/15,2015,3,7,0,9/30/15,2015,3,9,0,85000,0.1,11/1/15,236,745,6800,
Operating,Hotels.com - SCA - Hotel - XU (on Package page),Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Hotels.com,Hotels.com,SCA,Hotel,Exit Unit,10/17/14,2014,4,10,1,1/15/15,2015,1,1,1,192000,0.95,11/1/15,9439,115336,145920,
Operating,CheapTickets.com - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Car,On Page,4/2/15,2015,2,4,0.4,7/1/15,2015,3,7,0,30774,0.35,11/1/15,667,3314,10771,
Operating,BookIt.com - SSN - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SSN,Hotel,On Page,5/1/15,2015,2,5,1,7/30/15,2015,3,7,1,87000,0.5,11/1/15,2527,9832,43500,
Operating,BookIt.com - SSN - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SSN,Hotel,On Page,5/1/15,2015,2,5,1,7/30/15,2015,3,7,1,540000,0.5,11/1/15,15684,61025,270000,
Operating,BookIt.com - SSN - Package - OP - Details Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SSN,Package,On Page,5/1/15,2015,2,5,1,7/30/15,2015,3,7,1,85000,0.5,11/1/15,2642,10054,42500,
Operating,BookIt.com - SSN - Package - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SSN,Package,On Page,5/1/15,2015,2,5,1,7/30/15,2015,3,7,1,465000,0.5,11/1/15,14451,54999,232500,
Operating,CheapTickets.com - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Car,Exit Unit,4/2/15,2015,2,4,0.4,7/1/15,2015,3,7,0,14912,0.35,11/1/15,258,1285,4175,
Operating,Orbitz - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",Orbitz,SCA,Car,On Page,4/2/15,2015,2,4,0.4,7/1/15,2015,3,7,0,285196,0.35,11/1/15,6178,30717,99819,
Operating,CheapOair - SCA - Flight - OP - List Page (Incremental Traffic),Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Flight,On Page,1/1/15,2015,1,1,0,4/1/15,2015,2,4,0,3750000,0.3,11/1/15,72904,598949,1125000,
Operating,CheapOAir - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Hotel,On Page,8/2/15,2015,3,8,0,10/31/15,2015,4,10,0,480000,0.3,11/1/15,4108,8298,144000,
Operating,CheapOAir - SCA - Hotel - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Hotel,Exit Unit,8/2/15,2015,3,8,0,10/31/15,2015,4,10,0,910000,0.3,11/1/15,7064,14269,218400,
Operating,Orbitz - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",Orbitz,SCA,Car,Exit Unit,4/2/15,2015,2,4,0.4,7/1/15,2015,3,7,0,165754,0.35,11/1/15,2873,14282,46411,
Operating,Hipmunk - SCA - Cars - iFC,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Car,iFC,4/27/15,2015,2,4,0,7/26/15,2015,3,7,0,25000,0.1,11/1/15,155,613,2500,
Operating,CheapTickets - PPA - Hotel - Mobile Web,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,PPA,Hotel,Mobile Web,5/31/15,2015,2,5,0.8,8/29/15,2015,3,8,1,115000,0.75,11/1/15,4355,20442,86250,
Operating,Cheaptickets - PPA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,PPA,Hotel,On Page,3/2/15,2015,1,3,0,5/31/15,2015,2,5,0,165000,0.1,11/1/15,1363,8311,16500,
Operating,Hotwire - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Car,Exit Unit,4/10/15,2015,2,4,0.8,7/9/15,2015,3,7,1,630000,0.75,11/1/15,23396,108755,378000,
Operating,KAYAK - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Car,On Page,4/30/15,2015,2,4,1,7/29/15,2015,3,7,1,137582,0.9,11/1/15,7664,29441,123824,
Operating,CheapTickets.com - SCA - Flight - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",CheapTickets,SCA,Flight,Mobile Web,4/30/15,2015,2,4,0.8,7/29/15,2015,3,7,1,359912,0.75,11/1/15,19779,74437,269934,
Operating,Hotwire - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Car,On Page,4/2/15,2015,2,4,0.8,7/1/15,2015,3,7,1,1100000,0.75,11/1/15,51063,253874,825000,
Operating,Travelzoo - SCA - Car - SF,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Travelzoo Inc.,Travelzoo,SCA,Car,Search Form,5/15/15,2015,2,5,1,8/13/15,2015,3,8,1,500000,0.5,11/1/15,12637,50484,250000,
Operating,eDreams.net - SCA - Flight - OP - List Page,Installed Base Growth,N. America,United States,Lite,Lynne Hamilton,eDreams Odigeo,eDreams.net,SCA,Flight,On Page,3/16/15,2015,1,3,1,6/14/15,2015,2,6,1,270000,0.8,11/1/15,13998,76016,216000,
Operating,eDreams.net - SCA - Flight - XU,Installed Base Growth,N. America,United States,Lite,Lynne Hamilton,eDreams Odigeo,eDreams.net,SCA,Flight,Exit Unit,6/15/15,2015,2,6,0.3,9/13/15,2015,3,9,0,160000,0.25,11/1/15,1110,4781,32000,
Operating,Expedia.ca - SCA - Flight - XU,Installed Base Growth,N. America,Canada,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.ca,SCA,Flight,Exit Unit,12/27/14,2014,4,12,1,3/27/15,2015,1,3,1,650000,0.9,11/1/15,32470,261473,468000,
Operating,Expedia.ca - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,Canada,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.ca,SCA,Flight,On Page,5/2/15,2015,2,5,1,7/31/15,2015,3,7,1,605000,0.5,11/1/15,19603,72333,302500,
Operating,Expedia.com - PPA - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,PPA,Hotel,On Page,5/30/15,2015,2,5,0.8,8/28/15,2015,3,8,1,10000000,0.75,11/1/15,351191,1623878,7500000,
Operating,Expedia.com - PPA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,PPA,Hotel,On Page,5/30/15,2015,2,5,0.8,8/28/15,2015,3,8,1,42500000,0.75,11/1/15,1492563,6901480,31875000,
Operating,Travelocity - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Travelocity,SCA,Car,On Page,5/31/15,2015,2,5,1,8/29/15,2015,3,8,1,320000,0.5,11/1/15,5447,26275,160000,
Operating,Travelocity - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Travelocity,SCA,Car,Exit Unit,5/31/15,2015,2,5,1,8/29/15,2015,3,8,1,420000,0.5,11/1/15,5719,27589,168000,
Operating,Expedia.com - SCA - Flight - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,SCA,Flight,Mobile Web,7/30/15,2015,3,7,0,10/28/15,2015,4,10,0,2200000,0.4,11/1/15,32240,67174,880000,
Operating,Expedia.com - SCA - Hotel - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,SCA,Hotel,Mobile Web,7/30/15,2015,3,7,0,10/28/15,2015,4,10,0,1100000,0.4,11/1/15,14139,29969,440000,
Operating,Hipmunk - SCA - Package - iFC,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Package,iFC,7/30/15,2015,3,7,0,10/28/15,2015,4,10,0,65000,0.1,11/1/15,201,423,6500,
Operating,Hotwire - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Package,On Page,6/30/15,2015,2,6,1,9/28/15,2015,3,9,1,350000,0.5,11/1/15,5416,17715,175000,
Operating,Farespotter.net - SCA - Hotel - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Oversee.net,FareSpotter.net,SCA,Hotel,Exit Unit,5/2/15,2015,2,5,0,7/31/15,2015,3,7,0,15113,0.1,11/1/15,78,300,1209,
Operating,Hotwire - SCA - Package - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Package,Exit Unit,6/30/15,2015,2,6,1,9/28/15,2015,3,9,1,610000,0.5,11/1/15,7551,24700,244000,
Operating,Fly.com - SCA - Flight - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Travelzoo Inc.,Fly.com,SCA,Flight,Mobile Web,5/29/15,2015,2,5,0.3,8/27/15,2015,3,8,0,190000,0.25,11/1/15,2030,9519,47500,
Operating,Hipmunk - PPA - Hotel - OP,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,PPA,Hotel,On Page,5/2/15,2015,2,5,0.3,7/31/15,2015,3,7,0,50000,0.25,11/1/15,1033,3833,12500,
Operating,KAYAK - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Package,On Page,6/30/15,2015,2,6,1,9/28/15,2015,3,9,1,347059,0.9,11/1/15,9666,31620,312353,
Operating,Hipmunk - SCA - Flights / Hotels - Mobile App,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Hotel,Mobile App,3/3/15,2015,1,3,1,6/1/15,2015,2,6,1,20000,0.95,11/1/15,1221,7914,19000,
Operating,Hipmunk - SCA - Flights / Hotels - Mobile Web,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Hotel,Mobile Web,6/30/15,2015,2,6,0.3,9/28/15,2015,3,9,0,130000,0.25,11/1/15,1044,3389,32500,
Operating,Hipmunk - SCA - Hotel - Flight Cross-Sell,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Hotel,On Page,4/1/15,2015,2,4,0,6/30/15,2015,2,6,0,30000,0.1,11/1/15,171,893,3000,
Operating,KAYAK - SCA - Package - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Package,Exit Unit,6/30/15,2015,2,6,1,9/28/15,2015,3,9,1,843919,0.9,11/1/15,18804,61510,607622,
Operating,Hipmunk - SSN - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SSN,Hotel,On Page,10/29/14,2014,4,10,1,1/27/15,2015,1,1,1,31000,0.95,11/1/15,1711,21480,29450,
Operating,Hipmunk/Yahoo - SCA - Flight - iFC,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Flight,iFC,12/2/14,2014,4,12,0.3,3/2/15,2015,1,3,0,30000,0.25,11/1/15,222,3076,7500,
Operating,Hipmunk/Yahoo - SCA - Hotel - iFC,Installed Base Growth,N. America,United States,Strategic,Rudan Zhang,Hipmunk,Hipmunk,SCA,Hotel,iFC,12/2/14,2014,4,12,0.3,3/2/15,2015,1,3,0,50000,0.25,11/1/15,1635,17846,12500,
Operating,HotelClub - PPA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",HotelClub,PPA,Hotel,On Page,1/30/15,2015,1,1,0.3,4/30/15,2015,2,4,0,368219,0.25,11/1/15,7607,55792,92055,
Operating,HotelClub - SSN - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",HotelClub,SSN,Hotel,On Page,5/2/15,2015,2,5,0.3,7/31/15,2015,3,7,0,11600,0.25,11/1/15,168,648,2900,
Operating,HotelClub - SSN - Hotel - OP - Mobile Web - List Page,Installed Base Growth,N. America,United States,Major,Rudan Zhang,"Orbitz Worldwide, Inc.",HotelClub,SSN,Hotel,Mobile Web,4/5/15,2015,2,4,0.3,7/4/15,2015,3,7,0,43000,0.25,11/1/15,691,3482,10750,
Operating,HotelReservations.com - SCA - Hotel - Home Page XU,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SCA,Hotel,Exit Unit,11/17/14,2014,4,11,1,2/15/15,2015,1,2,1,54250,0.9,11/1/15,2527,27528,39060,
Operating,HotelReservations.com - SCA - Hotel - List Page XU,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SCA,Hotel,Exit Unit,11/17/14,2014,4,11,1,2/15/15,2015,1,2,1,54250,0.9,11/1/15,2527,27528,39060,
Operating,HotelReservations.com - SSN - Hotel - OP - Details Page,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SSN,Hotel,On Page,12/31/14,2014,4,12,1,3/31/15,2015,1,3,1,31000,0.9,11/1/15,1621,15420,27900,
Operating,HotelReservations.com - SSN - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SSN,Hotel,On Page,11/19/14,2014,4,11,1,2/17/15,2015,1,2,1,123000,0.9,11/1/15,6430,74615,110700,
Operating,HotelReservations.com - SSN - Hotel - OP - Mobile Web,Installed Base Growth,N. America,United States,Lite,Rudan Zhang,Media Market Group LLC,HotelReservations.com,SSN,Hotel,Mobile Web,12/31/14,2014,4,12,1,3/31/15,2015,1,3,1,43000,0.9,11/1/15,2487,23529,38700,
Operating,Hotels.com - SCA - Flight - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Hotels.com,Hotels.com,SCA,Flight,On Page,10/17/14,2014,4,10,1,1/15/15,2015,1,1,1,360000,0.95,11/1/15,22163,246811,342000,
Operating,Hotels.com - SCA - Flight - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Hotels.com,Hotels.com,SCA,Flight,Exit Unit,10/17/14,2014,4,10,1,1/15/15,2015,1,1,1,210000,0.95,11/1/15,11073,118447,159600,
Operating,Hotels.com - SCA - Hotel - OP - List Page (Package page),Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Hotels.com,Hotels.com,SCA,Hotel,On Page,10/17/14,2014,4,10,1,1/15/15,2015,1,1,1,102000,0.95,11/1/15,5529,70768,96900,
Operating,CheapOAir - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Car,On Page,7/3/15,2015,3,7,0,10/1/15,2015,4,10,0,170000,0.3,11/1/15,1578,4846,51000,
Operating,Hotwire - PPA - Hotel - Details Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,PPA,Hotel,On Page,3/31/15,2015,1,3,0.8,6/29/15,2015,2,6,1,6220000,0.75,11/1/15,385484,1939371,4665000,
Operating,Hotwire - PPA - Hotel - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,PPA,Hotel,On Page,3/31/15,2015,1,3,0.8,6/29/15,2015,2,6,1,4150000,0.75,11/1/15,257196,1293954,3112500,
Operating,CheapOAir - SCA - Car - XU,Installed Base Growth,N. America,United States,Strategic,Jonathan Naymark,Fareportal,CheapOair,SCA,Car,Exit Unit,7/3/15,2015,3,7,0,10/1/15,2015,4,10,0,90000,0.3,11/1/15,668,2052,21600,
Operating,Farespotter.net - SCA - Car - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Oversee.net,FareSpotter.net,SCA,Car,Exit Unit,7/3/15,2015,3,7,0,10/1/15,2015,4,10,0,1702,0.1,11/1/15,4,13,136,
Operating,Hotwire - SCA - Hotel - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Hotwire,SCA,Hotel,Mobile Web,9/30/15,2015,3,9,0,12/29/15,2015,4,12,0,450000,0.1,11/1/15,0,138,45000,
Operating,LowFares.com - SCA - Car - XU,Installed Base Growth,N. America,United States,Lite,Jonathan Naymark,Oversee.net,LowFares.com,SCA,Car,Exit Unit,7/3/15,2015,3,7,0,10/1/15,2015,4,10,0,7488,0.1,11/1/15,19,57,599,
Operating,Travelzoo - SCA - Package - SF,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,Travelzoo Inc.,Travelzoo,SCA,Package,Search Form,7/14/15,2015,3,7,1,10/12/15,2015,4,10,1,1200000,0.5,11/1/15,18568,49332,600000,
Operating,Expedia.com - SCA - Car - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,SCA,Car,On Page,7/30/15,2015,3,7,0.3,10/28/15,2015,4,10,0,1100176,0.25,11/1/15,8512,17878,275044,
Operating,KAYAK - SCA - Flight - iFC (pre-check),Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Flight,iFC,3/2/15,2015,1,3,1,5/31/15,2015,2,5,1,4050000,0.5,11/1/15,59882,445228,2025000,
Operating,KAYAK - SCA - Flight - Mobile App,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK Mobile App,SCA,Flight,Mobile App,12/1/14,2014,4,12,1,3/1/15,2015,1,3,1,290000,0.9,11/1/15,19124,180523,261000,
Operating,KAYAK - SCA - Flight - OP - List Page Backfill,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Flight,On Page,11/3/14,2014,4,11,0.8,2/1/15,2015,1,2,1,2200000,0.75,11/1/15,106926,1120888,1650000,
Operating,KAYAK - SCA - Flight - XU - Tablet,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Flight,Mobile Web,3/2/15,2015,1,3,1,5/31/15,2015,2,5,1,1300000,0.95,11/1/15,90491,538804,1235000,
Operating,KAYAK - SCA - Flights - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Flight,Mobile Web,5/31/15,2015,2,5,1,8/29/15,2015,3,8,1,760000,0.8,11/1/15,24502,118703,608000,
Operating,KAYAK - SCA - Hotel - Mobile App,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK Mobile App,SCA,Hotel,Mobile App,12/1/14,2014,4,12,1,3/1/15,2015,1,3,1,160000,0.9,11/1/15,9255,101433,144000,
Operating,KAYAK - SCA - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Hotel,On Page,8/2/15,2015,3,8,0,10/31/15,2015,4,10,0,694117,0.1,11/1/15,1980,4000,69412,
Operating,KAYAK - SCA - Hotel - OP - Mobile Web,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Hotel,Mobile Web,5/31/15,2015,2,5,1,8/29/15,2015,3,8,1,239470,0.8,11/1/15,6772,32509,191576,
Operating,KAYAK - SCA - Hotel - XU - Tablet,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SCA,Hotel,Mobile Web,4/2/15,2015,2,4,1,7/1/15,2015,3,7,1,670000,0.7,11/1/15,30143,155965,469000,
Operating,Expedia.com - SCA - Car - XU,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,"Expedia, Inc.",Expedia.com,SCA,Car,Exit Unit,7/30/15,2015,3,7,1,10/28/15,2015,4,10,1,858329,0.5,11/1/15,10625,22317,343332,
Operating,BookIt.com - SCA - Package - OP - List Page,Installed Base Growth,N. America,United States,Strategic,Jessica Jacobs,BookIt.com,BookIt,SCA,Package,On Page,6/16/15,2015,2,6,0.8,9/14/15,2015,3,9,1,630000,0.75,11/1/15,14622,61531,472500,
Operating,KAYAK - SSN - Hotel - OP - List Page,Installed Base Growth,N. America,United States,Major,Jessica Jacobs,KAYAK,KAYAK,SSN,Hotel,On Page,3/2/15,2015,1,3,0,5/31/15,2015,2,5,0,862043,0.1,11/1/15,5008,32808,86204,
